,Open,High,Close
421,110.42,112.19,111.12
422,108.78,110.0,109.99
423,109.72,109.9,108.99
424,108.65,110.42,109.56
425,104.89,107.79,107.68
426,106.0,106.19,105.19
427,105.47,106.25,105.67
428,106.48,107.07,106.13
429,105.25,107.29,106.72
430,105.93,107.65,105.91
431,106.34,106.5,105.92
432,105.52,106.47,105.8
433,104.61,106.31,105.97
434,103.96,105.18,104.58
435,101.91,102.91,102.52
436,102.24,102.28,102.26
437,101.41,102.24,101.17
438,101.31,101.58,101.12
439,100.78,101.76,101.03
440,102.39,102.83,101.87
441,102.37,103.75,103.01
442,100.58,101.71,101.5
443,100.51,100.89,100.75
444,97.65,100.77,100.53
445,96.86,98.23,96.69
446,97.2,98.02,96.91
447,96.05,96.76,96.76
448,93.98,96.38,96.1
449,96.4,96.5,94.69
450,96.31,96.9,96.88
451,96.0,96.76,96.04
452,98.84,98.89,96.26
453,96.67,98.21,98.12
454,95.02,96.85,96.64
455,94.19,94.5,93.99
456,93.79,94.72,93.7
457,95.92,96.35,94.27
458,94.29,95.94,94.99
459,93.13,95.7,95.01
460,96.52,96.92,94.02
461,95.86,97.33,96.6
462,95.0,96.84,96.35
463,95.42,96.04,94.48
464,96.47,96.71,96.43
465,94.79,97.34,97.34
466,93.79,94.52,94.09
467,96.04,96.63,93.42
468,99.93,100.88,99.99
469,101.52,101.53,99.44
470,98.63,101.46,101.42
471,97.06,97.88,96.3
472,95.1,98.19,96.79
473,98.41,98.65,96.66
474,96.2,97.71,97.13
475,97.96,100.48,99.52
476,100.32,101.19,97.39
477,100.55,100.69,99.96
478,98.97,99.06,98.53
479,98.55,99.11,96.96
480,98.68,100.13,96.45
481,100.56,102.37,100.7
482,105.75,105.85,102.71
483,102.61,105.37,105.35
484,107.01,107.03,105.26
485,108.58,108.7,107.32
486,106.96,109.43,108.74
487,107.59,107.69,106.82
488,109.0,109.0,108.03
489,107.27,108.85,108.61
490,107.4,107.72,107.23
491,107.28,107.37,107.33
492,108.91,109.52,106.03
493,112.02,112.25,108.98
494,111.07,111.99,111.34
495,111.94,112.8,110.49
496,112.18,112.68,112.48
497,115.19,115.39,113.18
498,116.04,116.94,116.17
499,115.3,117.69,115.62
500,117.52,118.6,118.23
501,118.32,119.86,118.28
502,115.29,119.25,119.03
503,115.24,116.79,115.2
504,117.34,118.11,116.28
505,118.75,118.81,117.34
506,117.99,119.41,118.3
507,118.29,118.41,117.81
508,119.21,119.23,118.03
509,117.33,119.35,118.88
510,119.27,119.73,117.75
511,119.2,119.92,119.3
512,117.64,119.75,118.78
513,115.76,117.49,117.29
514,114.92,115.05,113.69
515,111.38,114.24,114.18
516,115.2,115.57,112.34
517,116.26,116.82,115.72
518,116.37,117.42,116.11
519,116.9,118.07,116.77
520,120.96,121.81,120.57
521,121.08,121.81,121.06
522,121.85,122.69,120.92
523,122.56,123.82,122.0
524,120.79,123.49,122.57
525,120.8,121.36,121.18
526,120.99,121.22,119.5
527,118.7,120.69,120.53
528,117.58,119.3,119.27
529,115.4,116.54,114.55
530,118.08,118.13,115.28
531,118.77,119.23,119.08
532,114.33,115.5,115.5
533,114.0,115.58,113.76
534,111.34,114.17,113.77
535,110.8,111.75,111.73
536,111.78,112.0,111.04
537,110.93,112.1,111.86
538,111.29,111.52,110.21
539,110.82,112.45,111.79
540,112.73,112.75,111.6
541,111.64,112.28,112.12
542,110.06,110.19,109.5
543,110.47,111.77,110.78
544,110.63,111.74,111.31
545,110.08,111.37,110.78
546,108.01,111.01,110.38
547,109.07,109.62,109.58
548,110.17,111.54,110.3
549,112.83,113.51,109.06
550,113.85,114.57,112.44
551,116.44,116.69,114.71
552,113.25,115.5,115.0
553,113.63,114.72,114.32
554,113.38,114.18,113.4
555,113.67,115.37,115.21
556,112.21,114.3,113.45
557,115.66,116.49,113.92
558,116.25,116.54,116.41
559,115.93,116.53,116.28
560,116.58,116.89,115.31
561,111.79,114.21,114.21
562,110.27,113.28,112.57
563,113.76,114.02,110.15
564,111.75,112.56,112.31
565,108.97,110.45,109.27
566,112.49,112.78,110.37
567,110.23,112.34,112.34
568,110.15,111.88,107.72
569,112.03,114.53,112.76
570,112.17,113.31,113.29
571,112.23,113.24,112.92
572,107.08,109.89,109.69
573,111.11,111.11,103.74
574,94.87,108.8,103.12
575,110.43,111.9,105.76
576,114.08,114.35,112.65
577,116.1,116.52,115.01
578,116.43,117.44,116.5
579,116.04,117.65,117.16
580,114.32,116.31,115.96
581,116.04,116.4,115.15
582,112.53,115.42,115.24
583,117.81,118.18,113.49
584,116.53,119.99,119.72
585,114.58,116.25,115.52
586,115.97,116.5,115.13
587,112.95,117.44,115.4
588,117.42,117.7,114.64
589,121.5,122.57,118.44
590,122.6,122.64,121.3
591,122.32,122.57,122.37
592,123.15,123.5,122.99
593,123.38,123.91,123.38
594,123.09,123.61,122.77
595,125.32,125.74,124.5
596,126.2,127.09,125.16
597,121.99,125.5,125.22
598,132.85,132.92,130.75
599,130.97,132.97,132.07
600,129.08,129.62,129.62
601,127.74,128.57,128.51
602,125.72,127.15,126.82
603,126.04,126.37,125.61
604,125.03,125.76,125.66
605,121.94,123.85,123.28
606,123.85,124.06,120.07
607,124.48,124.64,122.57
608,125.89,126.15,125.69
609,124.94,126.23,126.0
610,126.43,126.69,126.44
611,126.9,126.94,126.6
612,125.57,126.12,125.42
613,125.46,126.47,124.53
614,127.67,127.99,126.75
615,128.86,129.2,127.5
616,127.21,129.8,128.11
617,127.48,127.61,127.03
618,127.49,128.06,127.61
619,127.71,127.82,126.6
620,127.23,128.31,127.88
621,127.72,127.88,127.3
622,127.03,127.85,127.6
623,126.1,127.24,126.92
624,128.18,128.33,127.17
625,129.18,130.18,128.59
626,127.92,129.34,128.88
627,126.7,128.08,127.42
628,128.9,129.21,127.8
629,129.5,129.69,128.65
630,129.58,130.58,129.36
631,130.66,130.94,130.12
632,129.86,130.66,129.96
633,130.28,131.39,130.54
634,131.23,131.45,130.28
635,131.86,131.95,131.78
636,130.34,132.26,132.04
637,132.6,132.91,129.62
638,131.6,132.97,132.54
639,130.07,131.63,131.39
640,130.0,130.98,130.06
641,130.69,130.88,130.07
642,128.38,130.72,130.19
643,129.07,129.49,128.77
644,127.41,128.95,128.95
645,126.15,127.19,126.01
646,125.6,126.88,125.86
